FIPS,State Name,State,2014 Food Insecurity Rate,# of Food Insecure Persons in 2014 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2014 Child Food Insecurity Rate,# of Food Insecure Children in 2014,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2014,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2014,2014 Cost Per Meal,2014 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.8%,"911,440",130%,SNAP,185%,Other Nutrition Program,53.3%,16.3%,30.4%,26.4%,"292,330",73%,27%,$2.90,"$466,367,000"
2,Alaska,AK,14.4%,"105,770",130%,SNAP,185%,Other Nutrition Program,44.5%,15.1%,40.4%,20.4%,"38,080",58%,42%,$3.33,"$62,181,000"
4,Arizona,AZ,17.1%,"1,150,650",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.0%,,33.0%,26.8%,"434,840",68%,32%,$2.78,"$563,767,000"
5,Arkansas,AR,19.1%,"567,250",130%,SNAP,185%,Other Nutrition Program,53.4%,16.5%,30.2%,26.3%,"185,660",72%,28%,$2.72,"$272,668,000"
6,California,CA,13.9%,"5,401,770",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.6%,,21.4%,22.9%,"2,099,120",68%,32%,$3.04,"$2,896,128,000"
8,Colorado,CO,12.9%,"692,840",130%,SNAP,185%,Other Nutrition Program,47.7%,15.6%,36.7%,18.1%,"226,350",64%,36%,$3.04,"$372,418,000"
9,Connecticut,CT,13.1%,"472,540",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",55.7%,,44.3%,18.1%,"140,290",62%,38%,$3.06,"$254,876,000"
10,Delaware,DE,12.6%,"117,970",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.3%,,35.7%,17.8%,"36,380",67%,33%,$2.99,"$62,194,000"
11,District of Columbia,DC,13.8%,"90,900",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.1%,,26.9%,25.9%,"29,820",68%,32%,$3.49,"$56,025,000"
12,Florida,FL,16.2%,"3,227,600",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.6%,,25.4%,24.9%,"1,007,870",70%,30%,$3.07,"$1,749,270,000"
13,Georgia,GA,17.7%,"1,783,450",130%,SNAP,185%,Other Nutrition Program,53.9%,15.7%,30.4%,26.1%,"650,970",70%,30%,$2.84,"$895,589,000"
15,Hawaii,HI,13.7%,"194,610",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.0%,,43.0%,22.0%,"67,690",47%,53%,$3.10,"$106,454,000"
16,Idaho,ID,14.7%,"241,080",130%,SNAP,185%,Other Nutrition Program,49.2%,18.9%,31.9%,19.3%,"83,110",67%,33%,$2.86,"$121,650,000"
17,Illinois,IL,12.9%,"1,658,280",165%,SNAP,185%,Other Nutrition Program,64.1%,3.0%,33.0%,19.5%,"583,000",67%,33%,$2.64,"$771,485,000"
18,Indiana,IN,15.3%,"1,009,710",130%,SNAP,185%,Other Nutrition Program,53.6%,14.4%,32.0%,21.2%,"335,410",70%,30%,$2.56,"$456,939,000"
19,Iowa,IA,12.4%,"384,830",160%,SNAP,185%,Other Nutrition Program,53.0%,5.0%,42.0%,17.8%,"129,270",57%,43%,$2.62,"$177,919,000"
20,Kansas,KS,14.2%,"413,560",130%,SNAP,185%,Other Nutrition Program,48.1%,15.0%,36.8%,21.3%,"153,940",66%,34%,$2.77,"$202,219,000"
