FIPS,State Name,State,2016 Food Insecurity Rate,# of Food Insecure Persons in 2016 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2016 Child Food Insecurity Rate,# of Food Insecure Children in 2016,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2016 Cost Per Meal,2016 Weighted Annual Food Budget Shortfall
1,Alabama,AL,16.5%,"800,620",130%,SNAP,185%,Other Nutrition Program,52.8%,16.3%,30.9%,22.5%,"247,140",71%,29%,$2.97,"$406,639,000"
2,Alaska,AK,13.4%,"99,650",130%,SNAP,185%,Other Nutrition Program,42.6%,15.1%,42.3%,18.6%,"34,800",58%,42%,$3.44,"$58,525,000"
4,Arizona,AZ,14.9%,"1,033,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.8%,,33.2%,22.7%,"370,960",68%,32%,$2.87,"$506,275,000"
5,Arkansas,AR,17.2%,"515,270",130%,SNAP,185%,Other Nutrition Program,54.0%,15.9%,30.0%,23.2%,"163,800",72%,28%,$2.80,"$246,776,000"
6,California,CA,11.7%,"4,574,710",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.9%,,23.1%,19.0%,"1,731,270",67%,33%,$3.16,"$2,473,458,000"
8,Colorado,CO,11.3%,"627,480",130%,SNAP,185%,Other Nutrition Program,47.2%,14.6%,38.3%,15.1%,"190,780",61%,39%,$3.19,"$342,520,000"
9,Connecticut,CT,11.6%,"414,730",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.7%,,43.3%,15.6%,"117,380",63%,37%,$3.19,"$226,249,000"
10,Delaware,DE,12.0%,"114,370",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.3%,,35.7%,16.8%,"34,240",64%,36%,$3.12,"$60,902,000"
11,District of Columbia,DC,12.4%,"84,380",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.2%,,27.8%,22.2%,"26,800",69%,31%,$3.67,"$52,881,000"
12,Florida,FL,13.9%,"2,871,650",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.3%,,27.7%,20.7%,"857,150",69%,31%,$3.17,"$1,557,049,000"
13,Georgia,GA,15.1%,"1,561,360",130%,SNAP,185%,Other Nutrition Program,53.3%,15.2%,31.5%,20.9%,"523,470",69%,31%,$2.93,"$781,043,000"
15,Hawaii,HI,11.8%,"168,030",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",55.5%,,44.5%,17.8%,"54,650",46%,54%,$3.27,"$93,916,000"
16,Idaho,ID,13.2%,"221,800",130%,SNAP,185%,Other Nutrition Program,49.0%,17.1%,33.9%,16.7%,"72,840",68%,32%,$2.93,"$111,122,000"
17,Illinois,IL,11.0%,"1,413,420",165%,SNAP,185%,Other Nutrition Program,64.5%,5.7%,29.8%,15.7%,"459,330",68%,32%,$2.77,"$669,207,000"
18,Indiana,IN,13.7%,"910,870",130%,SNAP,185%,Other Nutrition Program,54.0%,14.8%,31.3%,17.7%,"279,840",71%,29%,$2.62,"$408,203,000"
19,Iowa,IA,11.5%,"360,540",160%,SNAP,185%,Other Nutrition Program,52.7%,4.4%,42.9%,15.9%,"115,890",57%,43%,$2.72,"$167,753,000"
20,Kansas,KS,12.9%,"375,360",130%,SNAP,185%,Other Nutrition Program,47.4%,15.9%,36.6%,18.3%,"131,130",66%,34%,$2.89,"$185,071,000"
21,Kentucky,KY,15.5%,"685,830",130%,SNAP,185%,Other Nutrition Program,58.5%,11.2%,30.3%,19.2%,"194,440",74%,26%,$2.70,"$316,518,000"
22,Louisiana,LA,16.7%,"783,400",130%,SNAP,185%,Other Nutrition Program,59.3%,10.6%,30.1%,23.1%,"258,630",69%,31%,$2.89,"$387,408,000"
23,Maine,ME,13.8%,"183,310",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.0%,,40.0%,19.8%,"50,520",64%,36%,$3.45,"$108,086,000"
24,Maryland,MD,11.1%,"665,420",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.4%,,38.6%,15.3%,"205,890",58%,42%,$3.10,"$352,619,000"
